Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
HAMPTON,"SHIRLEY ANN
DOHENY","100 WINNACUNNET ROAD
HAMPTON 03842",926-0406,929-5917,townclerk@hamptonnh.gov,hamptonnh.gov,"Winnacunnet High School
Cafeteria
1 Alumni Dr Hampton 03842",7:00 AM - 8:00 PM
HAMPTON FALLS,HOLLY E KNOWLES,"1 DRINKWATER ROAD
HAMPTON FALLS 03844",926-4618,926-1848,townclerk@hamptonfalls.org,www.hamptonfalls.org,"Hampton Falls Town Office
1 Drinkwater Rd Hampton
Falls 03844",8:00 AM - 8:00 PM
HANCOCK,"CAROLYN G
BOLAND","PO BOX 6 HANCOCK
03449",525-4441,525-4427,clerk@hancocknh.org,www.hancocknh.org,"Hancock Town Office
50 Main St Hancock 03449",8:00 AM - 7:00 PM
HANOVER,"ELIZABETH A
MCCLAIN","PO BOX 483 HANOVER
03755",640-3203,643-1720,betsy.mcclain@hanovernh.org,www.hanovernh.org,"Hanover High School Gym
41 Lebanon St Hanover 03755",7:00 AM - 7:00 PM
HARRISVILLE,PATTY L MASSEY,"40 HOUGHTON RD
HARRISVILLE 03450",827-5546,827-2917,townclerk@harrisvillenh.org,www.harrisvillenh.org,"Town Office Building
705 Chesham Rd Harrisville
03450",8:00 AM - 7:00 PM
HART'S LOCATION,KATHLEEN LANDRY,"PO BOX 540 HARTS
LOCATION 03812",347-6397,,hartslocationtc@gmail.com,hartslocation.com,"Notchland Inn And Town Hall
979 Route 302 Hart's Location
03812",10:00AM - 07:00PM
HAVERHILL,"CHRISTINA C
HEBERT","2975 DARTMOUTH
COLLEGE HWY N
HAVERHILL 03774",787-6200,787-2226,townclerk@haverhill-nh.com,www.haverhill-nh.com,"Town Municipal Building
2975 Dartmouth College Hwy
Haverhill 03774",8:00 AM - 7:00 PM
HEBRON,"TRACEY
STEENBERGEN","PO BOX 55 HEBRON
03241",744-7999,744-5330,clerk@hebronnh.org,hebronnh.org,"Community Hall - Basement Of
Union Congregational Church
16 Church Ln Hebron 03241",11:00 AM - 7:00 PM
HENNIKER,"KIMBERLY I
JOHNSON","18 DEPOT HILL ROAD
HENNIKER 03242",428-3240,428-4366,hennikertc@tds.net,www.henniker.org,"Henniker Community School
51 Western Ave Henniker
03242",7:00 AM - 7:00 PM
HILL,SHELLY J HENRY,"30 CRESCENT STREET
HILL 03243",934-3951,934-2011,hilltwnclk@comcast.net,www.townofhillnh.org,"Hill Public Library
30 Crescent St Hill 03243",11:00 AM - 7:00 PM
HILLSBOROUGH,"DEBORAH J
MCDONALD","PO BOX 1699
HILLSBOROUGH 03244",464-3877,464-4270,debbie@hillsboroughnh.net,www.town.hillsborough.nh.us,"Hillsboro-Deering Middle
School Auditorium
6 Hillcat Dr Hillsborough 03244",7:00 AM - 7:00 PM
HINSDALE,JULIE M SEYMOUR,"PO BOX 31 HINSDALE
03451",336-5719,336-5711,jseymour@hinsdalenh.org,www.town.hinsdale.nh.us,"Hinsdale Community Center
19 Main St Hinsdale 03451",8:00 AM - 7:00 PM
HOLDERNESS,ELLEN KING,"PO BOX 203
HOLDERNESS 03245",968-7536,968-9954,tctc@holderness-nh.gov,www.holderness-nh.gov,"Holderness Town Hall
1089 Us Rt 3 Holderness
03245",8:00 AM - 7:00 PM
HOLLIS,LISA I CLAIRE,"7 MONUMENT SQUARE
HOLLIS 03049",465-2064,465-2964,townclerk@hollisnh.org,www.hollis.nh.us,"Hollis/Brookline Co-Operative
High School
24 Cavalier Ct Hollis 03049",7:00 AM - 7:00 PM
"HOOKSETT WARD
01",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 01 - Cawley Middle
School
89 Ward 01 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
