Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
"MANCHESTER
WARD 03","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 03 - Carol M. Rines
Center
1528 Elm St Manchester
03101",6:00 AM - 7:00 PM
"MANCHESTER
WARD 04","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 04 - Mcdonough
School
550 Lowell St Manchester
03104",6:00 AM - 7:00 PM
"MANCHESTER
WARD 05","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 05 - Beech Street
School
333 Beech St Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 06","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 06 - St. Pius Ccd
Center
167 Sarto St Manchester
03109",6:00 AM - 7:00 PM
"MANCHESTER
WARD 07","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 07 - St. Anthony
Community Center
148 Belmont St Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 08","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 08 - Memorial High
School
1 Crusader Way Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 09","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 09 - Bishop Leo E.
O'neil Youth Center
30 S Elm St Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 10","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 10 - Parker Varney
School
223 James A Pollock Dr
Manchester 03102",6:00 AM - 7:00 PM
"MANCHESTER
WARD 11","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 11 - Gossler School
99 Sullivan St Manchester
03102",6:00 AM - 7:00 PM
"MANCHESTER
WARD 12","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 12 - Northwest
Elementary School
300 Youville St Manchester
03102",6:00 AM - 7:00 PM
MARLBOROUGH,ELLEN J ORKINS,"PO BOX 487
MARLBOROUGH 03455",876-4529,876-4703,townclerk@marlboroughnh.org,www.marlboroughnh.org,"Marlborough Community
House
160 Main St Marlborough
03455",8:00 AM - 7:00 PM
