Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
NASHUA WARD 08,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 08 - Bicentennial
Elementary School
296 East Dunstable Rd
Nashua 03062",6:00 AM - 8:00 PM
NASHUA WARD 09,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 09 - New Searles
Elementary School
39 Shady Ln Nashua 03062",6:00 AM - 8:00 PM
NELSON,JULIA LENNON,"7 NELSON COMMON RD
NELSON 03457",847-9043,847-3197,townclerk@townofnelson.com,www.townofnelson.com,"Nelson Town Hall
7 Nelson Common Rd Nelson
03457",8:00 AM - 7:00 PM
NEW BOSTON,IRENE C BAUDREAU,"P O BOX 250 NEW
BOSTON 03070",487-2500,487-2975,i.baudreau@newbostonnh.gov,www.newbostonnh.gov,"New Boston Central
Elementary School
15 Central School Rd New
Boston 03070",7:00 AM - 7:00 PM
NEW CASTLE,"PRISCILLA
HODGKINS","PO BOX 367 NEW CASTLE
03854",431-6710,433-6198,phnewcastle@yahoo.com,www.newcastlenh.org,"New Castle Recreation Center
301 Wentworth Rd New Castle
03854",9:00 AM - 7:00 PM
NEW DURHAM,CAROLE M INGHAM,"PO BOX 207 NEW
DURHAM 03855",859-2091,859-6644,ndclerk@metrocast.net,www.newdurhamnh.us,"New Durham School
7 Old Bay Rd New Durham
03855",8:00 AM - 7:00 PM
NEW HAMPTON,CYNTHIA M TORSEY,"PO BOX 538 NEW
HAMPTON 03256",744-8454,744-0671,ctorsey@new-hampton.nh.us,www.new-hampton.nh.us,"New Hampton Town House
86 Town House Rd New
Hampton 03256",8:00 AM - 7:00 PM
NEW IPSWICH,JESSICA OLSON,"661 TURNPIKE ROAD NEW
IPSWICH 03071",878-2772,878-3855,"townclerk@townofnewipswich.
org",www.townofnewipswich.org,"Mascenic Regional High
School
175 Turnpike Rd New Ipswich
03071",7:00 AM - 7:00 PM
NEW LONDON,LINDA M HARDY,"375 MAIN STREET NEW
LONDON 03257",526-4821,526-9494,tctc@nl-nh.com,www.nl-nh.com,"Whipple Memorial Town Hall
429 Main St New London
03257",8:00 AM - 7:00 PM
NEWBURY,"LINDA JEAN
PLUNKETT","PO BOX 253 NEWBURY
03255",763-5326,763-5298,linda@newburynh.org,www.newburynh.org,"Town Office Building
937 Route 103 Newbury
03255",7:00 AM - 7:00 PM
NEWFIELDS,SUE E MCKINNON,"65 MAIN STREET
NEWFIELDS 03856",772-5070,772-9004,"suemckinnon@newfieldsnh.
gov",www.newfieldsnh.gov,"Newfields Town Hall
65 Main St Newfields 03856",7:00 AM - 7:00 PM
NEWINGTON,LAURA C COLEMAN,"205 NIMBLE HILL RD
NEWINGTON 03801",436-7640,436-7188,"lcoleman@townofnewingtonnh
.com",www.newington.nh.us,"Newington Town Hall
205 Nimble Hill Rd Newington
03801",8:00 AM - 7:00 PM
NEWMARKET,"TERRI J
LITTLEFIELD","186 MAIN ST NEWMARKET
03857",659-3073,659-3441,tlittlefield@newmarketnh.gov,www.newmarketnh.gov,"Newmarket Town Hall
186 Main St Newmarket 03857",7:00 AM - 7:00 PM
NEWPORT,LISELLE G DUFORT,"15 SUNAPEE STREET
NEWPORT 03773",863-2224,863-8008,clerk@newportnh.net,www.newportnh.net,"Newport Town Hall
20 Main St Newport 03773",8:00 AM - 7:00 PM
